12406,Arkville,New York,NY,Delaware,42.1417,-74.5721
12439,Hensonville,New York,NY,Greene,42.2898,-74.2165
12458,Napanoch,New York,NY,Ulster,41.759,-74.3804
12506,Bangall,New York,NY,Dutchess,41.8756,-73.6912
12513,Claverack,New York,NY,Columbia,42.2251,-73.7346
12547,Milton,New York,NY,Ulster,41.6535,-73.9772
12719,Barryville,New York,NY,Sullivan,41.4912,-74.9152
12723,Callicoon,New York,NY,Sullivan,41.7673,-75.0563
12801,Glens Falls,New York,NY,Warren,43.3115,-73.6448
12808,Adirondack,New York,NY,Warren,43.7165,-73.7825
12847,Long Lake,New York,NY,Hamilton,43.9477,-74.4662
12901,Plattsburgh,New York,NY,Clinton,44.6927,-73.466
12912,Au Sable Forks,New York,NY,Clinton,44.4499,-73.6857
12913,Bloomingdale,New York,NY,Essex,44.3985,-74.0829
12914,Bombay,New York,NY,Franklin,44.9479,-74.5947
12915,Brainardsville,New York,NY,Franklin,44.8578,-74.0335
12922,Childwold,New York,NY,St. Lawrence,44.2867,-74.6759
12958,Mooers,New York,NY,Clinton,44.9592,-73.5834
12964,New Russia,New York,NY,Essex,44.1595,-73.6059
12980,Saint Regis Falls,New York,NY,Franklin,44.6578,-74.5155
13020,Apulia Station,New York,NY,Onondaga,42.8187,-76.0724
13021,Auburn,New York,NY,Cayuga,42.93,-76.5626
13027,Baldwinsville,New York,NY,Onondaga,43.162,-76.3237
13028,Bernhards Bay,New York,NY,Oswego,43.2717,-75.9373
13040,Cincinnatus,New York,NY,Cortland,42.5385,-75.903
13043,Clockville,New York,NY,Madison,43.042,-75.7408
13053,Dryden,New York,NY,Tompkins,42.4861,-76.2872
13081,King Ferry,New York,NY,Cayuga,42.6635,-76.6216
13083,Lacona,New York,NY,Oswego,43.6429,-76.0503
13093,Lycoming,New York,NY,Oswego,43.4987,-76.3858
13143,Red Creek,New York,NY,Wayne,43.2291,-76.7146
13301,Alder Creek,New York,NY,Oneida,43.4157,-75.2137
13305,Beaver Falls,New York,NY,Lewis,43.887,-75.4274
13313,Bridgewater,New York,NY,Oneida,42.8792,-75.2672
13331,Eagle Bay,New York,NY,Herkimer,43.8167,-74.8862
13333,East Springfield,New York,NY,Otsego,42.8336,-74.8233
13406,Middleville,New York,NY,Herkimer,43.1369,-74.924
13415,New Lisbon,New York,NY,Otsego,42.5904,-75.1957
13424,Oriskany,New York,NY,Oneida,43.1524,-75.3434
13601,Watertown,New York,NY,Jefferson,43.9743,-75.9122
13607,Alexandria Bay,New York,NY,Jefferson,44.3359,-75.9177
13614,Brier Hill,New York,NY,St. Lawrence,44.5525,-75.6722
13617,Canton,New York,NY,St. Lawrence,44.5924,-75.1628
13618,Cape Vincent,New York,NY,Jefferson,44.1244,-76.3164
13621,Chase Mills,New York,NY,St. Lawrence,44.8672,-75.073
13635,Edwards,New York,NY,St. Lawrence,44.311,-75.2522
13730,Afton,New York,NY,Chenango,42.2417,-75.5366
13732,Apalachin,New York,NY,Tioga,42.0556,-76.1519
13744,Castle Creek,New York,NY,Broome,42.2568,-75.9087
13752,Delancey,New York,NY,Delaware,42.2884,-75.1051
13783,Hancock,New York,NY,Delaware,41.9914,-75.2647
14001,Akron,New York,NY,Erie,43.0249,-78.5084
14006,Angola,New York,NY,Erie,42.6366,-79.0497
14008,Appleton,New York,NY,Niagara,43.3105,-78.6372
14009,Arcade,New York,NY,Wyoming,42.563,-78.4134
14039,Dale,New York,NY,Wyoming,42.8263,-78.1749
14063,Fredonia,New York,NY,Chautauqua,42.4333,-79.3339
14072,Grand Island,New York,NY,Erie,43.0183,-78.9591
14410,Adams Basin,New York,NY,Monroe,43.1953,-77.8559
14414,Avon,New York,NY,Livingston,42.903,-77.7274
14415,Bellona,New York,NY,Yates,42.7554,-77.0217
14425,Farmington,New York,NY,Ontario,42.958,-77.3083
14437,Dansville,New York,NY,Livingston,42.57,-77.7109
14449,East Williamson,New York,NY,Wayne,43.2354,-77.1376
14571,Waterport,New York,NY,Orleans,43.3326,-78.243
14701,Jamestown,New York,NY,Chautauqua,42.0928,-79.244
14706,Allegany,New York,NY,Cattaraugus,42.0918,-78.4999
14707,Allentown,New York,NY,Allegany,42.0737,-78.0594
14719,Cattaraugus,New York,NY,Cattaraugus,42.3333,-78.8885
14724,Clymer,New York,NY,Chautauqua,42.0557,-79.6685
14801,Addison,New York,NY,Steuben,42.0983,-77.266
14803,Alfred Station,New York,NY,Allegany,42.2558,-77.7781
14805,Alpine,New York,NY,Schuyler,42.351,-76.7348
14825,Chemung,New York,NY,Chemung,42.0392,-76.6202
14840,Hammondsport,New York,NY,Steuben,42.4312,-77.1977
15001,Aliquippa,Pennsylvania,PA,Beaver,40.5921,-80.3197
15006,Bairdford,Pennsylvania,PA,Allegheny,40.6312,-79.8814
15012,Belle Vernon,Pennsylvania,PA,Fayette,40.1588,-79.8122
15017,Bridgeville,Pennsylvania,PA,Allegheny,40.3472,-80.1153
15310,Aleppo,Pennsylvania,PA,Greene,39.8246,-80.4579
15311,Amity,Pennsylvania,PA,Washington,40.0498,-80.1681
15312,Avella,Pennsylvania,PA,Washington,40.2734,-80.4565
15315,Bobtown,Pennsylvania,PA,Greene,39.7612,-79.9814
15411,Addison,Pennsylvania,PA,Somerset,39.7476,-79.3454
15445,Hopwood,Pennsylvania,PA,Fayette,39.8728,-79.6568
15462,Melcroft,Pennsylvania,PA,Fayette,40.052,-79.3892
15510,Somerset,Pennsylvania,PA,Somerset,39.9633,-79.0409
15521,Alum Bank,Pennsylvania,PA,Bedford,40.1858,-78.6206
15533,Breezewood,Pennsylvania,PA,Bedford,39.9905,-78.2453
15545,Hyndman,Pennsylvania,PA,Bedford,39.8049,-78.7335
15605,Greensburg,Pennsylvania,PA,Westmoreland,40.3602,-79.4398
15701,Indiana,Pennsylvania,PA,Indiana,40.6196,-79.1596
15711,Anita,Pennsylvania,PA,Jefferson,41.0018,-78.9666
15714,Northern Cambria,Pennsylvania,PA,Cambria,40.6661,-78.792
15821,Benezett,Pennsylvania,PA,Elk,41.3253,-78.3576
15823,Brockport,Pennsylvania,PA,Elk,41.2822,-78.7128
15828,Clarington,Pennsylvania,PA,Forest,41.3233,-79.1466
15870,Wilcox,Pennsylvania,PA,Elk,41.5735,-78.6823
15905,Johnstown,Pennsylvania,PA,Cambria,40.3072,-78.943
16016,Boyers,Pennsylvania,PA,Butler,41.1084,-79.8989
16037,Harmony,Pennsylvania,PA,Butler,40.8496,-80.1381
16110,Adamsville,Pennsylvania,PA,Crawford,41.5067,-80.3765
16112,Bessemer,Pennsylvania,PA,Lawrence,40.9755,-80.4937
16137,Mercer,Pennsylvania,PA,Mercer,41.2325,-80.234
16201,Kittanning,Pennsylvania,PA,Armstrong,40.8155,-79.5107
16232,Knox,Pennsylvania,PA,Clarion,41.2245,-79.5194
16313,Clarendon,Pennsylvania,PA,Warren,41.7302,-79.1719
16317,Cooperstown,Pennsylvania,PA,Venango,41.498,-79.8757
16401,Albion,Pennsylvania,PA,Erie,41.8947,-80.3111
16420,Grand Valley,Pennsylvania,PA,Warren,41.6963,-79.5473
16501,Erie,Pennsylvania,PA,Erie,42.126,-80.086
16601,Altoona,Pennsylvania,PA,Blair,40.5209,-78.4089
16620,Brisbin,Pennsylvania,PA,Clearfield,40.8387,-78.3526
16622,Calvin,Pennsylvania,PA,Huntingdon,40.4025,-77.967
16720,Austin,Pennsylvania,PA,Potter,41.6296,-78.0908
16730,East Smethport,Pennsylvania,PA,McKean,41.8087,-78.4195
16801,State College,Pennsylvania,PA,Centre,40.7925,-77.8523
16820,Aaronsburg,Pennsylvania,PA,Centre,40.8987,-77.4562
16829,Clarence,Pennsylvania,PA,Centre,41.0585,-77.9312
16901,Wellsboro,Pennsylvania,PA,Tioga,41.7373,-77.308
16910,Alba,Pennsylvania,PA,Bradford,41.7051,-76.8283
16927,Harrison Valley,Pennsylvania,PA,Potter,41.9587,-77.6587
17001,Camp Hill,Pennsylvania,PA,Cumberland,40.216,-76.925
17003,Annville,Pennsylvania,PA,Lebanon,40.3456,-76.5447
17005,Berrysburg,Pennsylvania,PA,Dauphin,40.601,-76.8117
17006,Blain,Pennsylvania,PA,Perry,40.3293,-77.5117
17014,Cocolamus,Pennsylvania,PA,Juniata,40.6479,-77.2125
17044,Lewistown,Pennsylvania,PA,Mifflin,40.5994,-77.5756
17201,Chambersburg,Pennsylvania,PA,Franklin,39.9313,-77.6579
17301,Abbottstown,Pennsylvania,PA,Adams,39.8881,-76.9931
17302,Airville,Pennsylvania,PA,York,39.821,-76.4012
17320,Fairfield,Pennsylvania,PA,Adams,39.7808,-77.3619
17501,Akron,Pennsylvania,PA,Lancaster,40.1573,-76.2042
17509,Christiana,Pennsylvania,PA,Lancaster,39.904,-76.0401
17547,Marietta,Pennsylvania,PA,Lancaster,40.0664,-76.5645
17701,Williamsport,Pennsylvania,PA,Lycoming,41.2412,-77.0011
17723,Jersey Shore,Pennsylvania,PA,Lycoming,41.432,-77.4562
17731,Eagles Mere,Pennsylvania,PA,Sullivan,41.4109,-76.5819
17815,Bloomsburg,Pennsylvania,PA,Columbia,41.0115,-76.4384
17837,Lewisburg,Pennsylvania,PA,Union,40.9702,-76.9099
17901,Pottsville,Pennsylvania,PA,Schuylkill,40.684,-76.2123
18001,Lehigh Valley,Pennsylvania,PA,Northampton,40.6934,-75.4712
18041,East Greenville,Pennsylvania,PA,Montgomery,40.4119,-75.5056
18201,Hazleton,Pennsylvania,PA,Luzerne,40.9488,-75.9563
18210,Albrightsville,Pennsylvania,PA,Carbon,40.9748,-75.5842
18301,East Stroudsburg,Pennsylvania,PA,Monroe,41.0367,-75.1735
18403,Archbald,Pennsylvania,PA,Lackawanna,41.4876,-75.5334
18430,Herrick Center,Pennsylvania,PA,Susquehanna,41.7643,-75.5044
18612,Dallas,Pennsylvania,PA,Luzerne,41.3494,-75.9834
18623,Laceyville,Pennsylvania,PA,Wyoming,41.6662,-76.1426
18821,Great Bend,Pennsylvania,PA,Susquehanna,41.9717,-75.7432
18936,Montgomeryville,Pennsylvania,PA,Montgomery,40.2241,-75.231
19013,Chester,Pennsylvania,PA,Delaware,39.8498,-75.3747
19335,Downingtown,Pennsylvania,PA,Chester,40.0161,-75.7183
19510,Blandon,Pennsylvania,PA,Berks,40.4435,-75.8837
19702,Newark,Delaware,DE,New Castle,39.6349,-75.6993
19901,Dover,Delaware,DE,Kent,39.1564,-75.4955
19930,Bethany Beach,Delaware,DE,Sussex,38.531,-75.0674
19931,Bethel,Delaware,DE,Sussex,38.5685,-75.6243
19941,Ellendale,Delaware,DE,Sussex,38.8057,-75.4056
20001,Washington,District of Columbia,DC,District of Columbia,38.9122,-77.0177
20101,Dulles,Virginia,VA,Loudoun,39.0021,-77.4421
20106,Amissville,Virginia,VA,Rappahannock,38.6842,-78.0168
20112,Manassas,Virginia,VA,Manassas Park (city),38.6665,-77.4248
20130,Paris,Virginia,VA,Fauquier,39.0048,-77.9546
20180,Lovettsville,Virginia,VA,Loudoun,39.2204,-77.6596
20601,Waldorf,Maryland,MD,Charles,38.6371,-76.8778
20606,Abell,Maryland,MD,St. Mary's,38.2471,-76.7481
20628,Dameron,Maryland,MD,St. Mary's,38.1533,-76.3575
20662,Nanjemoy,Maryland,MD,Charles,38.4462,-77.1983
20676,Port Republic,Maryland,MD,Calvert,38.4952,-76.5349
20701,Annapolis Junction,Maryland,MD,Howard,39.1332,-76.7988
20733,Churchton,Maryland,MD,Anne Arundel,38.8018,-76.5248
20872,Damascus,Maryland,MD,Montgomery,39.2761,-77.2131
21001,Aberdeen,Maryland,MD,Harford,39.5109,-76.1805
21020,Boring,Maryland,MD,Baltimore,39.5213,-76.8047
21052,Fort Howard,Maryland,MD,Baltimore,39.207,-76.4456
21521,Barton,Maryland,MD,Allegany,39.5331,-79.0281
21601,Easton,Maryland,MD,Talbot,38.7768,-76.0758
21607,Barclay,Maryland,MD,Queen Anne's,39.1299,-75.8601
21622,Church Creek,Maryland,MD,Dorchester,38.4278,-76.1696
21702,Frederick,Maryland,MD,Frederick,39.4926,-77.4612
21711,Big Pool,Maryland,MD,Washington,39.6457,-78.0104
21766,Little Orleans,Maryland,MD,Allegany,39.6876,-78.3781
21810,Allen,Maryland,MD,Wicomico,38.2873,-75.688
21817,Crisfield,Maryland,MD,Somerset,37.9845,-75.8429
21829,Girdletree,Maryland,MD,Worcester,38.0958,-75.3902
22402,Fredericksburg,Virginia,VA,Fredericksburg (city),38.2996,-77.4897
22427,Bowling Green,Virginia,VA,Caroline,38.0137,-77.1802
22432,Burgess,Virginia,VA,Northumberland,37.8687,-76.3542
22433,Burr Hill,Virginia,VA,Orange,38.3446,-77.8719
22437,Center Cross,Virginia,VA,Essex,37.7929,-76.7548
22534,Partlow,Virginia,VA,Spotsylvania,38.0641,-77.6586
22602,Winchester,Virginia,VA,Frederick,39.1501,-78.269
22650,Rileyville,Virginia,VA,Page,38.7564,-78.3873
22709,Aroda,Virginia,VA,Madison,38.3256,-78.2366
22801,Harrisonburg,Virginia,VA,City of Harrisonburg,38.4489,-78.8714
22810,Basye,Virginia,VA,Shenandoah,38.8089,-78.7776
22901,Charlottesville,Virginia,VA,Albemarle,38.0936,-78.5611
22922,Arrington,Virginia,VA,Nelson,37.6902,-78.9479
22937,Esmont,Virginia,VA,Albemarle,37.8125,-78.6106
22939,Fishersville,Virginia,VA,Augusta,38.0964,-78.9929
22974,Troy,Virginia,VA,Fluvanna,37.9636,-78.2535
23001,Achilles,Virginia,VA,Gloucester,37.2882,-76.426
23002,Amelia Court House,Virginia,VA,Amelia,37.3428,-77.9841
23005,Ashland,Virginia,VA,Hanover,37.7395,-77.4784
23011,Barhamsville,Virginia,VA,New Kent,37.4617,-76.8321
23014,Beaumont,Virginia,VA,Goochland,37.7338,-77.8881
23031,Christchurch,Virginia,VA,Middlesex,37.5984,-76.4476
23086,King William,Virginia,VA,King William,37.7202,-77.0998
23112,Midlothian,Virginia,VA,Chesterfield,37.431,-77.6545
23123,New Canton,Virginia,VA,Buckingham,37.6645,-78.3112
23301,Accomac,Virginia,VA,Accomack,37.7159,-75.6803
23304,Battery Park,Virginia,VA,Isle of Wight,36.9965,-76.5741
23307,Birdsnest,Virginia,VA,Northampton,37.439,-75.881
23315,Carrsville,Virginia,VA,Isle of Wight,36.7454,-76.8365
23320,Chesapeake,Virginia,VA,Chesapeake (city),36.7352,-76.2384
23801,Fort Lee,Virginia,VA,Prince George,37.2447,-77.3341
23821,Alberta,Virginia,VA,Brunswick,36.8806,-77.9055
23822,Ammon,Virginia,VA,Dinwiddie,37.0724,-77.6475
23827,Boykins,Virginia,VA,Southampton,36.5951,-77.1975
23839,Dendron,Virginia,VA,Surry,37.0981,-76.8966
23845,Ebony,Virginia,VA,Brunswick,36.5722,-77.9888
23847,Emporia,Virginia,VA,Emporia (city),36.6857,-77.563
23884,Sussex,Virginia,VA,Sussex,36.9151,-77.2791
23901,Farmville,Virginia,VA,Prince Edward,37.3027,-78.4076
23915,Baskerville,Virginia,VA,Mecklenburg,36.7236,-78.279
23923,Charlotte Court House,Virginia,VA,Charlotte,37.0879,-78.6378
23964,Red Oak,Virginia,VA,Charlotte,36.7724,-78.6321
24001,Roanoke,Virginia,VA,Roanoke (city),37.2742,-79.9579
24050,Roanoke,Virginia,VA,Botetourt,37.5551,-79.7862
24053,Ararat,Virginia,VA,Patrick,36.6139,-80.5093
24054,Axton,Virginia,VA,Henry,36.6596,-79.712
24058,Belspring,Virginia,VA,Pulaski,37.1982,-80.6151
24072,Check,Virginia,VA,Floyd,37.0446,-80.228
24082,Critz,Virginia,VA,Patrick,36.6211,-80.1298
24092,Glade Hill,Virginia,VA,Franklin,36.9859,-79.773
24104,Huddleston,Virginia,VA,Bedford,37.1442,-79.491
24105,Indian Valley,Virginia,VA,Floyd,36.899,-80.5757
24127,New Castle,Virginia,VA,Craig,37.4871,-80.1704
24201,Bristol,Virginia,VA,Bristol (city),36.6181,-82.1823
24215,Andover,Virginia,VA,Wise,36.9234,-82.7964
24217,Bee,Virginia,VA,Dickenson,37.1014,-82.1856
24218,Ben Hur,Virginia,VA,Lee,36.7435,-83.2234
24236,Damascus,Virginia,VA,Washington,36.6403,-81.7776
24251,Gate City,Virginia,VA,Scott,36.646,-82.6112
24311,Atkins,Virginia,VA,Smyth,36.8665,-81.4048
24314,Bastian,Virginia,VA,Bland,37.1574,-81.1989
24330,Fries,Virginia,VA,Grayson,36.7247,-81.0042
24412,Bacova,Virginia,VA,Bath,38.054,-79.8437
24413,Blue Grass,Virginia,VA,Highland,38.5152,-79.5613
24415,Brownsburg,Virginia,VA,Rockbridge,37.9285,-79.3192
24426,Covington,Virginia,VA,Covington (city),37.7802,-79.987
24485,West Augusta,Virginia,VA,Augusta,38.2744,-79.3201
24501,Lynchburg,Virginia,VA,Lynchburg (city),37.353,-79.1557
24520,Alton,Virginia,VA,Halifax,36.5894,-79.0202
24527,Blairs,Virginia,VA,Pittsylvania,36.6799,-79.3731
24555,Glasgow,Virginia,VA,Rockbridge,37.643,-79.459
24569,Long Island,Virginia,VA,Campbell,37.0644,-79.1219
24601,Amonate,Virginia,VA,Tazewell,37.1909,-81.6387
